canton,n_municipalities,total_voters,right_pct,haredi_pct,center_pct,left_pct,arab_pct,dominant_bloc
0,27,623178,45.2,27.8,17.0,6.2,1.0,right
1,18,1120795,36.3,14.7,35.8,10.5,0.9,right
2,62,1169734,45.0,9.7,33.6,8.3,1.2,right
3,1,4380,21.4,0.6,28.5,44.0,4.6,left
4,121,1005988,27.6,4.9,19.8,7.2,38.6,arab
